Seq,Name,BibCode
1,Hobbs et al. 2005,2005MNRAS.360..974H
2,Brisken et al. 2003,2003AJ....126.3090B
3,Siegman et al. 1993,1993MNRAS.262..449S
4,Reardon et al. 2016,2016MNRAS.455.1751R
5,Chatterjee et al. 2009,2009ApJ...698..250C
6,Harrison Lyne and Anderson 1993,1993MNRAS.261..113H
7,Deller et al. 2009,2009ApJ...701.1243D
8,Brisken et al. 2002,2002ApJ...571..906B
9,Mignani Pavlov and Kargaltsev 2010,2010ApJ...720.1635M
10,Bailes et al. 1990,1990MNRAS.247..322B
11,Fomalont et al. 1997,1997MNRAS.286...81F
12,Zou et al. 2005,2005MNRAS.362.1189Z
13,Fomalont et al. 1999,1999AJ....117.3025F
14,Chatterjee et al. 2004,2004ApJ...604..339C
15,Deller et al. 2013,2013ApJ...770..145D
